"android iphone" 48
"bitch huyo" 62
"bitch huyu" 134
"bitch mbaya" 60
"bitch nigga" 65
"bitch punda" 55
"charlie brown" 26
"charlie crist" 38
"charlie syeye" 36
"chuo kikuu" 23
"dat bitch" 36
"dawa kulevya" 28
"derek jeter" 25
"dick wangu" 26
"dis bitch" 25
"gari langu" 32
"gyeye nitto" 241
"hakuna bitch" 23
"hakuna mtu" 108
"hali niwa" 33
"haya yote" 43
"hucyeye niza" 26
"huyo bitch" 48
"huyo mtoto" 43
"huyu bitch" 78
"huyu jamaa" 26
"huyu mjinga" 26
"huyu mtoto" 27
"ikiwa jembe" 23
"ikiwa mtoto" 29
"ikiwa mtu" 27
"ikiwa una" 35
"ipad ngono" 48
"iphone ipad" 48
"jamaa huyu" 29
"jana usiku" 50
"jembe hilo" 95
"jembe hilus" 74
"jembe ikiwa" 23
"jembe jembe" 28
"jembe lako" 34
"jembe punda" 31
"jina langu" 36
"kibaya mbaya" 23
"kitita hicho" 33
"kitita hiki" 46
"kitoto kidogo" 52
"kucyeye nikesha" 91
"kucyeye niza" 163
"kufanya kazi" 43
"kula pussy" 97
"kupata pussy" 44
"kupiga kelele" 29
"kurudi nyuma" 26
"kutomba kitoto" 24
"kwanini nimekuwa" 253
"kwayeye niri" 29
"lil bitch" 45
"majembe haya" 431
"majembe mabaya" 27
"majembe mengine" 34
"majembe yall" 29
"majembe yote" 114
"mbaya mbaya" 26
"mcyeye nizaji" 26
"mcyeye nizo" 220
"micyeye nizo" 93
"mjinga bubu" 32
"mjinga mjinga" 54
"mpira miguu" 36
"msichaifanyi mzuri" 31
"msichaifanyi wangu" 39
"mtoto huyo" 24
"mtoto mbaya" 85
"mtoto mchanga" 33
"mtoto wako" 47
"mtoto wangu" 52
"mtu mmoja" 25
"muda mrefu" 37
"mya saada" 34
"ndege flappy" 33
"ndege mapema" 26
"ngono xxx" 48
"nigga bitch" 30
"nigga halisi" 31
"nina hakika" 24
"piga kelele" 24
"porn android" 48
"punda bitch" 36
"punda bubu" 26
"punda nigga" 108
"punda wako" 122
"punda wangu" 47
"pussy bora" 25
"pussy nigga" 31
"pussy nzuri" 58
"pussy punda" 28
"pussy pussy" 26
"rafiki kike" 35
"ratcyeye nit" 37
"seyeye nimu" 81
"shule upili" 32
"siwezi kusimama" 23
"syeye nien" 38
"syeye nireyeye" 61
"syeye niria" 66
"takataka nyeupe" 87
"umri miaka" 23
"una majembe" 28
"usiku leo" 101
"uso wangu" 27
"vidonda vibaya" 26
"yuko jembe" 47
